SMILES
"C#CCC(=O)NC#CC"
"C=CCCC(=O)NCCC"
"O=CN[C@H]1CC[C@H](O)CC1"
"CNC(=O)C(C)(C)NC=O"
"Cc1cc(NC(N)=O)ccn1"
"CCCNC(=O)c1cocn1"
"CNC(=O)CCN(C=O)OC"
"CC(C)NS(=O)(=O)C1CC1"
"O=CNc1cccc(C(=O)O)n1"
"NC(=O)Nc1n[nH]c(C2CC2)n1"
"CCCNC(=O)c1cc(C)on1"
"C=CCNC(=O)[C@@H]1C[C@@H](F)CN1"
"CNC(=O)C1(NC(N)=O)COC1"
"CNC(=O)CCNC(=O)[C@H](C)N"
"O=C(NCCCl)c1ccco1"
"CNC(=O)CONC(=O)[C@H](C)N"
"CS(=O)(=O)Nc1nncs1"
"C=CCCC(=O)Nc1nc(C)n[nH]1"
"C#CCC(=O)N[C@H]1CC[C@H](O)CC1"
"CC#CC(=O)N[C@H]1CC[C@H](O)CC1"
"CC(C)CCNC(=O)c1cocn1"
"O=C(NCCCCO)c1ccco1"
"COC[C@H](C)NC(=O)c1cn[nH]c1"
"CCCNC(=O)c1cnc(C)s1"
"CC(C)CCNC(=O)CCC(C)C"
"CCS(=O)(=O)Nc1ccncn1"
"CNC(=O)[C@@H](C)NC(=O)[C@@H](C)NC"
"O=C(Nc1cc[nH]n1)c2cccnn2"
"CNC(=O)C(C)(C)NC(=O)CON"
"CC[C@H](N)C(=O)NOCC(=O)NC"
"C=CCNC(=O)c1ccc(CC)cc1"
"CNC(=O)[C@@H](C)NC(=O)CSC"
"CCCNS(=O)(=O)C(F)(F)F"
"CCCNS(=O)(=O)C1CCCC1"
"O=C(NCc1ncc[nH]1)c2ccno2"
"O=C(Nc1ncco1)C2CC32CCC3"
"O=C(NCC(F)(F)F)c1cn[nH]c1"
"COC[C@H](C)NS(=O)(=O)C1CC1"
"O=C(NC1(C(=O)O)CC1)c2cn[nH]c2"
"CNC(=O)CN(C)S(=O)(=O)NC"
"Cc1cc(NC(=O)CCC(C)C)[nH]n1"
"CC(C)CCC(=O)NCc1ncc[nH]1"
"CNC(=O)CCNC(=O)c1cn[nH]c1"
"C=CCCC(=O)NCCN1CCCC1"
"CNC(=O)CONS(=O)(=O)NC"
"CNC(=O)C1(NC(=O)C2CNC2)CC1"
"O=CNc1nc(Cl)c2[nH]cnc2n1"
"CNC(=O)CONC(=O)c1cc[nH]n1"
"CNC(=O)C(NC=O)C1CCCCC1"
"CNC(=O)CONC(=O)c1nc[nH]n1"
"CC#CNC(=O)c1cnc2[nH]ccc2c1"
"CNC(=O)[C@@H](C)NC(=O)CCC(C)C"
"O=C(NCCCCO)C1CCCNC1"
"COC(=O)/C=C/C(=O)NCCCCO"
"CC(=O)N[C@@H](C)C(=O)N(C)CC(N)=O"
"CC(=O)NCCC(=O)N(C)CC(N)=O"
"C=CCNS(=O)(=O)c1ccnn1C"
"CNC(=O)C(C)(C)NC(=O)[C@@H](C)NC"
"CNC(=O)[C@H](C)NC(=O)[C@@H](N)C(C)C"
"O=C(NCc1cccnc1)c2cc[nH]n2"
"O=S(=O)(NCCCCO)C(F)F"
"C=CC(=O)N[C@@H]1c2ccccc2C[C@H]1O"
"CC[C@H](NC(=O)[C@H](N)CO)C(=O)NC"
"CNC(=O)CN(C)C(=O)[C@H](N)[C@H](C)O"
"CNCC(=O)N(CCC(=O)NC)OC"
"C#CCC(=O)Nc1cc(C2CCC2)[nH]n1"
"C=CCC(C)(C)C(=O)Nc1ccccc1"
"O=C(Nc1ccc[nH]c1=O)c2c[nH]cn2"
"CNC(=O)C(O)CNC(=O)C(O)CN"
"Nc1ccc(N2CCN(C=O)CC2)cc1"
"CNC(=O)CCNS(=O)(=O)C1CC1"
"CC(C)NS(=O)(=O)C1CCOCC1"
"CNC(=O)[C@H](C)NC(=O)c1cccnn1"
"CNC(=O)CCNS(=O)(=O)C(C)C"
"Cc1ncc(C(=O)Nc2ncco2)s1"
"Cc1n[nH]c(NC(=O)C2CCCNC2)n1"
"CC[C@H](NC(=O)c1cn[nH]c1)C(=O)NC"
"C=CCCC(=O)NC1(C(=O)NC)CCC1"
"CNC(=O)C(O)CNC(=O)c1cn[nH]c1"
"C=CCC(C)(C)C(=O)N(C)CC(=O)NC"
"C=CCC(C)(C)C(=O)N[C@H](C)C(=O)NC"
"COC(=O)/C=C/C(=O)Nc1nncs1"
"CNC(=O)CN(C)C(=O)[C@@H]1CCCNC1"
"CC(C)(C)NS(=O)(=O)CCCCl"
"CNC(=O)[C@@H](NC(=O)C=C(C)C)[C@@H](C)O"
"Cc1ncc(C(=O)NCC(C)(C)O)s1"
"Cc1ccc(C)c(NC(=O)c2ccco2)c1"
"CC[C@H](NC(=O)CN(C)C(C)=O)C(N)=O"
"CNC(=O)[C@@H](NC(=O)C1CNC1)[C@@H](C)O"
"CC[C@H](NC(=O)[C@@H](N)C(C)C)C(=O)NC"
"C=CCNS(=O)(=O)CCC(F)(F)F"
"O=C(Nc1n[nH]c(C2CC2)n1)c3ccc[nH]3"
"CNC(=O)C(C)(C)NC(=O)[C@@H](N)[C@@H](C)O"
"CNC(=O)[C@H](NC(=O)C(O)CN)C(C)C"
"CNC(=O)[C@H](C)N(C)C(=O)CCNOC"
"CC(C)(C)NC(=O)c1cnc2[nH]ccc2c1"
"C=CCCC(=O)Nc1cccc(C#N)c1F"
"CC(C)(C)c1cc(NS(C)(=O)=O)no1"
"CN(C)S(=O)(=O)NCCc1c[nH]cn1"
"C=CCC(C)(C)C(=O)NCc1ccccn1"
"CC(C)NS(=O)(=O)CCC(F)(F)F"
"Cc1cc(C)c(NC(=O)C2(O)CC2)c(C)c1"
"C#CCC(=O)Nc1ccc(O)c([N+](=O)[O-])c1"
"Cc1csc(NS(=O)(=O)C(C)C)n1"
"O=C(Nc1cc(C2CCC2)[nH]n1)C3(O)CC3"
"C=CC(=O)N[C@H](Cc1ccco1)C(=O)NC"
"CC[C@H](NC(=O)c1cccnn1)C(=O)NC"
"CNC(=O)[C@@H]1CCCN1C(=O)c2cc[nH]n2"
"C=C1CC(C(=O)NC2(C(=O)NC)CCC2)C1"
"CCCCS(=O)(=O)N[C@@H](C)C(=O)NC"
"CCCCS(=O)(=O)NCCC(=O)NC"
"O=C(Nc1cncc(Cl)n1)c2ccc[nH]2"
"C=CC(=O)NC[C@H](O)c1ccc(O)c(O)c1"
"CC(C)(O)CNC(=O)[C@@H](O)c1ccccc1"
"CNC(=O)[C@H](NC(=O)c1ccc[nH]1)C(C)C"
"C#CCC(=O)N1CCN(CC(=O)NC)CC1"
"Cc1cc(NS(=O)(=O)CCCl)[nH]n1"
"O=C(N[C@@H](CC1CC1)C(=O)O)c2cocn2"
"C#CCC(=O)NC(CCC(N)=O)C(=O)NC"
"C#CCC(=O)Nc1[nH]ncc1-c2ccccc2"
"CNC(=O)[C@@H](NC(=O)c1nc[nH]n1)C(C)C"
"CNC(=O)CCN(OC)S(=O)(=O)NC"
"CNC(=O)C1(NC(=O)[C@@H]2CCCN2)CCC1"
"CNC(=O)C1(NC(=O)[C@H]2CCCN2)CCC1"
"CNC(=O)C1CN(C(=O)[C@H]2CC[C@@H](N)C2)C1"
"C=CC(=O)NC1CCN(C(=O)OCC)CC1"
"O=C(O)[C@@H](NC(=O)C1(O)CC1)C(F)(F)F"
"N#CCc1ccc(NC(=O)c2ccno2)cc1"
"O=C(Nc1ccc2c[nH]nc2c1)c3ccco3"
"N#CCc1ccc(NC(=O)c2nc[nH]n2)cc1"
"CC(=O)NC1(C(=O)N(C)CC(N)=O)CCC1"
"CC[C@H](NC(C)=O)C(=O)NC1(C(N)=O)CC1"
"CNC(=O)C1(NC(=O)[C@@H](N)CC(C)C)CC1"
"COC[C@H](C)NC(=O)c1ccc([N+](=O)[O-])o1"
